gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
3019373236,Alcyoniidae,Alcyonium digitatum,-3.96586,47.70236,2016,France,BioObs,"Probable, high degree of reliability"
2917603529,Alcyoniidae,Alcyonium digitatum,-6.006653,57.15599,2016,United Kingdom,SNH,Unconfirmed
2917671293,Alcyoniidae,Alcyonium digitatum,-5.417351,58.0312,2016,United Kingdom,SNH,Accepted
2956470442,Alcyoniidae,Alcyonium digitatum,-4.155439,53.22373,2016,United Kingdom,Seasearch,Accepted - considered correct
2956484632,Alcyoniidae,Alcyonium digitatum,-6.170004,55.27752,2016,United Kingdom,Seasearch,Accepted - considered correct
2956503103,Alcyoniidae,Alcyonium digitatum,-5.26299,51.73729,2016,United Kingdom,Seasearch,Accepted - considered correct
2956503359,Alcyoniidae,Alcyonium digitatum,-5.266461,51.70247,2016,United Kingdom,Seasearch,Accepted - considered correct
2956529359,Alcyoniidae,Alcyonium digitatum,-4.154479,53.22668,2016,United Kingdom,Seasearch,Accepted - considered correct
2956543768,Alcyoniidae,Alcyonium digitatum,1.140001,52.95016,2016,United Kingdom,Seasearch,Accepted - considered correct
2956552593,Alcyoniidae,Alcyonium digitatum,-6.171008,55.27665,2016,United Kingdom,Seasearch,Accepted - considered correct
2956578110,Alcyoniidae,Alcyonium digitatum,-4.147691,50.33293,2016,United Kingdom,Seasearch,Accepted - considered correct
2956595650,Alcyoniidae,Alcyonium digitatum,-5.051106,51.61007,2016,United Kingdom,Seasearch,Accepted - considered correct
2956635578,Alcyoniidae,Alcyonium digitatum,-4.186213,53.21548,2016,United Kingdom,Seasearch,Accepted - considered correct
2956650538,Alcyoniidae,Alcyonium digitatum,-5.050598,51.609610000000004,2016,United Kingdom,Seasearch,Accepted - considered correct
