species,lon,lat
Eunicella verrucosa,-4.533279999999995,48.64122999653022
Eunicella verrucosa,-5.116409999999998,48.44519999647324
Eunicella verrucosa,-4.340479999999998,47.773489996270975
Eunicella verrucosa,-4.044190000000003,47.73060999625765
Eunicella verrucosa,-4.401739999999992,48.30922999643314
Eunicella verrucosa,-4.58097,48.30565999643213
Eunicella verrucosa,-2.391299999999993,48.70151999654757
Eunicella verrucosa,-3.4830999999999945,47.61223999622075
Eunicella verrucosa,-4.349949999999998,47.76773999626915
Eunicella verrucosa,-4.771760000000004,48.4684199964801
Eunicella verrucosa,-2.583159999999995,47.30157999612224
Eunicella verrucosa,-2.8382499999999933,48.665119996537115
Eunicella verrucosa,-4.314279999999992,47.772409996270596
Eunicella verrucosa,-4.224279999999996,47.79164999627652
Eunicella verrucosa,-3.788229999999997,48.72994999655574
Eunicella verrucosa,-2.1455599999999975,48.65471999653409
Eunicella verrucosa,-4.556389999999995,48.35471999644666
Eunicella verrucosa,-2.669629999999998,48.74959999656131
Eunicella verrucosa,-2.652123000000003,48.75524299656291
Eunicella verrucosa,-5.052412000000001,50.04400199691115
Eunicella verrucosa,-5.275539000000005,51.739843997310885
Eunicella verrucosa,-5.281452999999992,51.741477997311264
Eunicella verrucosa,-5.2932159999999975,51.74384699731175
Eunicella verrucosa,-5.282898999999994,51.74143699731123
Eunicella verrucosa,-5.262331999999999,51.73751299731035
Eunicella verrucosa,-5.310369999999999,51.74066599731099
Eunicella verrucosa,-5.291705000000002,51.74298999731158
Eunicella verrucosa,-5.272127999999991,51.732742997309295
Eunicella verrucosa,-5.263324999999995,51.73118999730898
Eunicella verrucosa,-5.237752999999995,51.73819399731056
Eunicella verrucosa,-5.2334149999999955,51.73831299731051
Eunicella verrucosa,-5.281387999999999,51.74057999731106
Eunicella verrucosa,-5.270682999999998,51.732783997309305
Eunicella verrucosa,-5.276400000000002,51.731724997309094
Eunicella verrucosa,-5.270877000000006,51.73547699730994
Eunicella verrucosa,-5.273964000000005,51.73808899731048
Eunicella verrucosa,-5.2720629999999975,51.73184599730911
Eunicella verrucosa,-5.27791100000001,51.7325819973093
Eunicella verrucosa,-5.261878999999995,51.73122999730897
Eunicella verrucosa,-3.2643539999999955,50.565628997041
Eunicella verrucosa,-4.868987999999997,50.5965029970485
Eunicella verrucosa,-4.339585999999997,50.20718899695241
Eunicella verrucosa,-4.9931949999999965,50.571785997042525
Eunicella verrucosa,-4.255828,50.184560996946765
Eunicella verrucosa,-4.165112,50.31580999697955
Eunicella verrucosa,-4.877509000000001,50.597191997048675
Eunicella verrucosa,-3.9481909999999996,50.23240399695875
Eunicella verrucosa,-4.911430000000001,50.59724799704871
Eunicella verrucosa,-4.2724910000000005,50.29936799697547
Eunicella verrucosa,-4.094340999999993,50.30361499697656
Eunicella verrucosa,-3.8298929999999984,50.21903799695542
Eunicella verrucosa,-4.161185999999994,50.32217899698117
Eunicella verrucosa,-4.078827000000001,50.30209499697621
Eunicella verrucosa,-4.1225649999999945,50.30670099697729
Eunicella verrucosa,-6.243553000000005,49.94261899688519
Eunicella verrucosa,-4.106651999999995,50.29619699697469
Eunicella verrucosa,-4.262485999999999,50.177235996944894
Eunicella verrucosa,-3.8323850000000017,50.210903996953355
Eunicella verrucosa,-3.9884179999999962,50.28928599697297
Eunicella verrucosa,-3.766117999999996,50.20023799695069
Eunicella verrucosa,-3.9137379999999986,50.28244599697125
Eunicella verrucosa,-4.7927639999999965,50.21516299695442
Eunicella verrucosa,-4.4852829999999955,50.1789759969454
Eunicella verrucosa,-3.937418,50.24337799696154
Eunicella verrucosa,-4.158726999999999,50.360900996990786
Eunicella verrucosa,-2.800422999999997,50.68485199706983
Eunicella verrucosa,-6.346614,49.87940699686886
Eunicella verrucosa,-2.2055769999999972,50.61008299705183
Eunicella verrucosa,-2.689560999999999,50.65408599706243
Eunicella verrucosa,-2.628568999999994,50.64184099705945
Eunicella verrucosa,-2.2352509999999977,50.60912699705157
Eunicella verrucosa,-2.191429999999995,50.60650999705097
Eunicella verrucosa,-2.1928430000000003,50.60650699705091
Eunicella verrucosa,-2.955361,50.64681399706067
